repulsion_force,speed_factor,enemy_speed,gain,target_distance,num_robots,num_enemies,killed,reached_target,ticks
10,1,1,100,15,11,2,5,6,22423
10,1,1,100,15,11,3,5,6,22423
10,1,1,100,15,11,4,7,4,22297
10,1,1,100,15,12,1,0,12,22414
10,1,1,100,15,12,2,2,10,23509
10,1,1,100,15,12,3,2,10,24217
10,1,1,100,15,12,4,8,4,23561
10,1,1,100,15,13,1,1,12,22236
10,1,1,100,15,13,2,3,10,23934
10,1,1,100,15,13,3,4,9,24497
10,1,1,100,15,13,4,4,9,24265
10,1,1,100,15,14,1,1,13,22571
10,1,1,100,15,14,2,3,11,22445
10,1,1,100,15,14,3,6,8,22250
10,1,1,100,15,14,4,8,6,22026
10,1,1,100,15,15,1,2,13,22731
10,1,1,100,15,15,2,8,7,22898
10,1,1,100,15,15,3,8,7,22898
10,1,1,100,15,15,4,12,3,22438
10,1,1,100,20,1,1,0,1,22140
10,1,1,100,20,1,2,0,1,22140
10,1,1,100,20,1,3,1,0,13986
10,1,1,100,20,1,4,1,0,13986
10,1,1,100,20,2,1,0,2,22906
10,1,1,100,20,2,2,0,2,22906
10,1,1,100,20,2,3,0,2,22909
10,1,1,100,20,2,4,0,2,22909
10,1,1,100,20,3,1,0,3,22723
10,1,1,100,20,3,2,0,3,22848
10,1,1,100,20,3,3,0,3,22848
10,1,1,100,20,3,4,1,2,22767
10,1,1,100,20,4,1,0,4,22913
10,1,1,100,20,4,2,1,3,22913
10,1,1,100,20,4,3,1,3,22912
10,1,1,100,20,4,4,2,2,22912
10,1,1,100,20,5,1,0,5,22902
10,1,1,100,20,5,2,1,4,22846
10,1,1,100,20,5,3,1,4,22846
10,1,1,100,20,5,4,3,2,22773
10,1,1,100,20,6,1,0,6,22902
10,1,1,100,20,6,2,1,5,22987
10,1,1,100,20,6,3,1,5,22987
10,1,1,100,20,6,4,3,3,22813
10,1,1,100,20,7,1,0,7,22891
10,1,1,100,20,7,2,3,4,22674
10,1,1,100,20,7,3,3,4,22730
10,1,1,100,20,7,4,4,3,22730
10,1,1,100,20,8,1,0,8,23052
10,1,1,100,20,8,2,4,4,22813
10,1,1,100,20,8,3,4,4,22813
10,1,1,100,20,8,4,5,3,22787
10,1,1,100,20,9,1,0,9,22344
10,1,1,100,20,9,2,1,8,22368
10,1,1,100,20,9,3,2,7,23252
10,1,1,100,20,9,4,5,4,23028
10,1,1,100,20,10,1,1,9,23289
10,1,1,100,20,10,2,3,7,23124
10,1,1,100,20,10,3,3,7,23124
10,1,1,100,20,10,4,6,4,22577
10,1,1,100,20,11,1,2,9,23495
10,1,1,100,20,11,2,3,8,23513
10,1,1,100,20,11,3,3,8,23513
10,1,1,100,20,11,4,6,5,24672
10,1,1,100,20,12,1,1,11,23138
10,1,1,100,20,12,2,5,7,23940
10,1,1,100,20,12,3,5,7,23940
10,1,1,100,20,12,4,8,4,23285
10,1,1,100,20,13,1,1,12,22966
10,1,1,100,20,13,2,2,11,22953
10,1,1,100,20,13,3,4,9,24442
10,1,1,100,20,13,4,4,9,24442
10,1,1,100,20,14,1,1,13,22744
10,1,1,100,20,14,2,3,11,22577
10,1,1,100,20,14,3,5,9,23068
10,1,1,100,20,14,4,8,6,22581
10,1,1,100,20,15,1,2,13,22565
10,1,1,100,20,15,2,5,10,24365
10,1,1,100,20,15,3,5,10,24059
10,1,1,100,20,15,4,8,7,27753
10,1,1,100,25,1,1,0,1,22140
10,1,1,100,25,1,2,0,1,22140
10,1,1,100,25,1,3,1,0,13986
10,1,1,100,25,1,4,1,0,13986
10,1,1,100,25,2,1,0,2,22996
10,1,1,100,25,2,2,0,2,22996
10,1,1,100,25,2,3,1,1,22293
10,1,1,100,25,2,4,1,1,22293
10,1,1,100,25,3,1,0,3,23287
10,1,1,100,25,3,2,0,3,23341
10,1,1,100,25,3,3,0,3,23278
10,1,1,100,25,3,4,1,2,22867
10,1,1,100,25,4,1,0,4,23000
10,1,1,100,25,4,2,1,3,23000
10,1,1,100,25,4,3,2,2,22662
10,1,1,100,25,4,4,3,1,22297
10,1,1,100,25,5,1,0,5,23327
10,1,1,100,25,5,2,1,4,23367
10,1,1,100,25,5,3,2,3,22898
10,1,1,100,25,5,4,3,2,22898
10,1,1,100,25,6,1,0,6,23053
10,1,1,100,25,6,2,1,5,23077
10,1,1,100,25,6,3,1,5,23077
10,1,1,100,25,6,4,3,3,22988
10,1,1,100,25,7,1,0,7,22999
10,1,1,100,25,7,2,4,3,22581
10,1,1,100,25,7,3,4,3,22609
10,1,1,100,25,7,4,5,2,22609
10,1,1,100,25,8,1,1,7,23020
10,1,1,100,25,8,2,1,7,23636
10,1,1,100,25,8,3,1,7,23806
10,1,1,100,25,8,4,4,4,23802
10,1,1,100,25,9,1,0,9,22740
10,1,1,100,25,9,2,1,8,23275
10,1,1,100,25,9,3,1,8,23275
10,1,1,100,25,9,4,5,4,23059
10,1,1,100,25,10,1,2,8,23141
10,1,1,100,25,10,2,4,6,23495
10,1,1,100,25,10,3,4,6,23495
10,1,1,100,25,10,4,7,3,23503
10,1,1,100,25,11,1,2,9,23039
10,1,1,100,25,11,2,3,8,23088
10,1,1,100,25,11,3,3,8,23088
10,1,1,100,25,11,4,7,4,22789
10,1,1,100,25,12,1,2,10,22912
10,1,1,100,25,12,2,5,7,26592
10,1,1,100,25,12,3,7,5,24712
10,1,1,100,25,12,4,7,5,24712
10,1,1,100,25,13,1,2,11,22704
10,1,1,100,25,13,2,4,9,22739
10,1,1,100,25,13,3,6,7,24234
10,1,1,100,25,13,4,6,7,24234
10,1,1,100,25,14,1,2,12,23341
10,1,1,100,25,14,2,4,10,24102
10,1,1,100,25,14,3,8,6,24973
10,1,1,100,25,14,4,10,4,23712
10,1,1,100,25,15,1,1,14,23104
10,1,1,100,25,15,2,3,12,26720
10,1,1,100,25,15,3,6,9,27519
10,1,1,100,25,15,4,6,9,27519
